"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-549",1000,1000,1,0.3,6,12,0.5,11.6849512092465,5.9117180302914,0.494074222097448,5.83642749723717,0.500517598000863,5.95734002972574,0.500517598000863,5.80239642737929,0.503429982421514
"4-550",1000,1000,1,0.3,6,12,0.5,12.4194855578821,6.47821192557566,0.478383231303472,6.30505007640191,0.492325986691101,6.23453392560118,0.492325986691101,6.32413977535401,0.49078891022661
"4-551",1000,1000,1,0.3,6,12,0.5,13.0597291751266,6.34253306081789,0.514344212214001,6.25169511771557,0.521299788542133,6.34462168050119,0.521299788542133,6.22420467820518,0.523404766305588
"4-552",1000,1000,1,0.3,6,12,0.5,11.6867633837392,6.06525654426452,0.481014858852741,5.96582899668769,0.489522564905485,5.91208624905866,0.489522564905485,5.96694042925516,0.489427463076949
"4-553",1000,1000,1,0.3,6,12,0.5,11.5903984740943,6.09650332083677,0.474003992661418,5.95957806028438,0.485817672825948,5.97383878614805,0.485817672825948,6.00800378459993,0.481639583140439
"4-554",1000,1000,1,0.3,6,12,0.5,12.7522433760263,6.19672222285928,0.514068070994562,6.0930370419296,0.522198811435464,6.23060154508152,0.522198811435464,6.09235844538011,0.522252025331206
"4-555",1000,1000,1,0.3,6,12,0.5,12.427371597659,6.19207288289344,0.501739138140854,6.05591487200858,0.512695438096551,5.98636011471519,0.512695438096551,6.09810314686251,0.509300651473941
"4-556",1000,1000,1,0.3,6,12,0.5,10.7461217100364,6.05735301374363,0.436321942260684,5.88442078484049,0.452414466947208,5.96413026815026,0.452414466947208,5.90018557774768,0.450947445324656
"4-557",1000,1000,1,0.3,6,12,0.5,11.6921985127404,6.19593148165278,0.470079859241067,6.11497314019669,0.477003992573894,6.13348198457422,0.477003992573894,6.20310413929192,0.469466402530481
"4-558",1000,1000,1,0.3,6,12,0.5,12.3622177272772,6.29978030808623,0.490400472870998,6.32810799278598,0.488109000149462,6.36641940985495,0.488109000149462,6.35674987121763,0.485792111783352
"4-559",1000,1000,1,0.3,6,12,0.5,12.8533865385745,6.27741677652778,0.511613786943346,6.31587737504031,0.508621532847735,6.46587312506721,0.508621532847735,6.29452783084101,0.510282538228319
"4-560",1000,1000,1,0.3,6,12,0.5,11.8673163160967,6.09974270403979,0.486004877466174,6.08203430983544,0.487497076185132,6.26720083047443,0.487497076185132,6.11130670017166,0.485030436756594
"4-561",1000,1000,1,0.3,6,12,0.5,12.0708296229613,6.53903118156167,0.458278230592948,6.43291330169091,0.467069497074658,6.48561261461394,0.467069497074658,6.43223667608649,0.467125551681139
"4-562",1000,1000,1,0.3,6,12,0.5,12.0517917019154,6.16746488325928,0.488253279196727,6.09685641274913,0.494112032173592,6.18861567559977,0.494112032173592,6.10256927974277,0.493638005810132
"4-563",1000,1000,1,0.3,6,12,0.5,12.3870308477539,6.1469176649734,0.503761818265917,6.07767908117644,0.509351421185935,6.14225576586243,0.509351421185935,6.1224631644678,0.505736020220055
"4-564",1000,1000,1,0.3,6,12,0.5,12.3202425506409,6.20193108601545,0.496606413345911,5.98029953415886,0.514595633196544,6.01259554955885,0.514595633196544,5.98832312832078,0.513944380258223
"4-565",1000,1000,1,0.3,6,12,0.5,12.2319440701757,6.19917386533294,0.493197988008465,6.27565784263129,0.486945181679434,6.35469430424131,0.486945181679434,6.27381420282278,0.487095905047522
"4-566",1000,1000,1,0.3,6,12,0.5,11.8487565871507,6.19342981918543,0.477292847259447,6.24161047137408,0.473226542762915,6.25010357640271,0.473226542762915,6.26409859550897,0.471328611619719
"4-567",1000,1000,1,0.3,6,12,0.5,11.5955052994869,6.14273714812849,0.47024842907016,6.08139800657128,0.475538335803239,6.21961487937176,0.475538335803239,6.09660769576739,0.474226647454756
"4-568",1000,1000,1,0.3,6,12,0.5,12.1291144200812,6.27639516015229,0.482534755401352,6.21268415581774,0.487787488793748,6.29022028030265,0.487787488793748,6.26683308796107,0.483323112395939
"4-569",1000,1000,1,0.3,6,12,0.5,12.3422363818686,6.35438437593416,0.485151298409009,6.32105868292665,0.487851432483289,6.21129670628005,0.487851432483289,6.35940247837291,0.48474471873548
"4-570",1000,1000,1,0.3,6,12,0.5,12.0204842347301,6.26974196669415,0.478411863926469,6.30207771312429,0.475721810364674,6.39945735710846,0.475721810364674,6.31797474855751,0.474399314937468
"4-571",1000,1000,1,0.3,6,12,0.5,12.347888383788,6.47740504376289,0.475424069084772,6.45001910978464,0.47764193283014,6.55085711890395,0.47764193283014,6.46555501154091,0.476383749951142
"4-572",1000,1000,1,0.3,6,12,0.5,12.5116300246515,6.3274857698487,0.494271669048579,6.2632541106985,0.499405425323632,6.40567810602894,0.499405425323632,6.25801654780715,0.499824040874206
"4-573",1000,1000,1,0.3,6,12,0.5,12.1781972478061,6.206223209087,0.490382436513332,6.05615845289884,0.502704847879694,6.17937569741326,0.502704847879694,6.049544476137,0.503247947702045
"4-574",1000,1000,1,0.3,6,12,0.5,11.3423870048112,5.86804037852674,0.48264502207184,5.75349128561535,0.492744227191786,5.83971825939067,0.492744227191786,5.79479983269606,0.489102264784474
"4-575",1000,1000,1,0.3,6,12,0.5,12.6168257657926,6.22132712276071,0.506902351015397,6.28354419360454,0.501971073370864,6.38403740854337,0.501971073370864,6.35298173995048,0.496467506337846
"4-576",1000,1000,1,0.3,6,12,0.5,12.0065826843692,5.95704980715799,0.503851348567884,5.79609425603836,0.517256957420198,5.89744571552504,0.517256957420198,5.86392175326545,0.511607764888889
"4-577",1000,1000,1,0.3,6,12,0.5,11.9996831181468,6.29366736021948,0.475513869970304,6.18823485330565,0.484300144230696,6.19622542937301,0.484300144230696,6.22846289189107,0.480947719155021
"4-578",1000,1000,1,0.3,6,12,0.5,11.6846860934125,5.92770368782355,0.492694656883814,5.89638859114667,0.495374668689568,5.94909858796751,0.495374668689568,5.92509910022449,0.492917562966035
"4-579",1000,1000,1,0.3,6,12,0.5,11.3911902889406,5.91960411186859,0.48033489374541,5.92943615701638,0.479471766635916,5.98592627952265,0.479471766635916,5.96927574774935,0.475974362964971
