"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-93",1000,1000,0.3,1,6,12,0.5,11.8978725519949,6.26731312745928,0.473240858811481,6.36235866848632,0.465252410405122,6.15073570877564,0.465252410405122,6.30784662036872,0.469834073881461
"4-94",1000,1000,0.3,1,6,12,0.5,12.42005081301,6.14617120531905,0.505141218997194,6.28468922565255,0.493988444953113,6.17843866297678,0.493988444953113,6.28170790886391,0.494228485580444
"4-95",1000,1000,0.3,1,6,12,0.5,12.212718791499,6.28886751711096,0.485055897505107,6.31249020761129,0.483121627920781,6.16093457885156,0.483121627920781,6.27066640144803,0.486546238515464
"4-96",1000,1000,0.3,1,6,12,0.5,11.7616372177101,6.26728806038092,0.467141525931106,6.37806933713434,0.457722660623254,6.40741844070388,0.457722660623254,6.34942117282677,0.460158389916488
"4-97",1000,1000,0.3,1,6,12,0.5,12.9110498998083,6.10759044025858,0.526948583759306,6.15649584605056,0.523160711651964,6.03777155124772,0.523160711651964,6.15703203512046,0.523119182181157
"4-98",1000,1000,0.3,1,6,12,0.5,11.8531477449175,6.06943587006458,0.487947336801983,6.19185593323856,0.477619273252241,6.06748043195449,0.477619273252241,6.13776272648234,0.482182888582138
"4-99",1000,1000,0.3,1,6,12,0.5,12.0576839366172,6.32624721966148,0.475334794566167,6.45360352260382,0.464772542013206,6.41028545683455,0.464772542013206,6.48760223822192,0.46195286986084
"4-100",1000,1000,0.3,1,6,12,0.5,12.3992063317359,6.22897823417099,0.497630891242785,6.47605479567277,0.477704086664223,6.48774466270926,0.477704086664223,6.44125459275628,0.480510734282257
"4-101",1000,1000,0.3,1,6,12,0.5,11.9859209451358,6.24378250258947,0.479073612184689,6.47438280095004,0.459834348100091,6.3724556059265,0.459834348100091,6.47187780384813,0.46004334306288
"4-102",1000,1000,0.3,1,6,12,0.5,11.1867119228575,6.09424067303815,0.455225028134855,6.06905886800262,0.457476074305453,6.07141969711731,0.457476074305453,5.98769012266419,0.464749770624759
"4-103",1000,1000,0.3,1,6,12,0.5,12.7140023239409,6.27634091785556,0.506344205550678,6.39692597816464,0.496859775924454,6.35888572176081,0.496859775924454,6.35408997769995,0.50022897465301
"4-104",1000,1000,0.3,1,6,12,0.5,11.5614486158717,5.96557912520579,0.484011102465468,6.11878952974756,0.470759267887279,6.06482752702411,0.470759267887279,6.03544120518403,0.47796842716591
"4-105",1000,1000,0.3,1,6,12,0.5,11.8322661340222,6.26409030761405,0.470592510626308,6.44569034918541,0.455244644079495,6.28086371573497,0.455244644079495,6.43466524429048,0.456176427118352
"4-106",1000,1000,0.3,1,6,12,0.5,12.4368049713369,6.25563570760381,0.497006206817493,6.40522128812743,0.484978553343119,6.35104830056864,0.484978553343119,6.3969138608904,0.485646524518688
"4-107",1000,1000,0.3,1,6,12,0.5,11.7682507230179,5.88991360211057,0.499508147749579,5.99261474543721,0.490781180102147,5.8915419593743,0.490781180102147,5.98546558860576,0.491388675387532
